City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Chunoyar,RU,57.4467,97.3217,75.15,42,100,4.88,overcast clouds
253,Solaro,IT,44.8799,9.1732,68.4,75,19,0.72,few clouds
254,Chokurdakh,RU,70.6333,147.9167,67.01,32,14,13.53,few clouds
255,Porto Novo,BJ,6.4965,2.6036,76.82,94,100,4.03,moderate rain
256,Aklavik,CA,68.2191,-135.0107,55.2,66,24,15.46,few clouds
257,Paliyad,IN,22.25,71.5667,84.49,72,99,17.4,overcast clouds
258,Aleksandrov Gay,RU,50.147,48.5704,86.76,31,17,12.37,few clouds
259,Takoradi,GH,4.8845,-1.7554,74.23,88,100,7.9,light rain
260,Pringsewu,ID,-5.3582,104.9744,85.95,60,37,4.56,scattered clouds
261,Tapes,BR,-30.6733,-51.3958,61.23,93,58,8.21,broken clouds
262,Dunda,TZ,-8.1167,34.25,63.27,53,0,7.58,clear sky
263,College,US,64.8569,-147.8028,67.98,74,20,0.0,haze
264,Iqaluit,CA,63.7506,-68.5145,35.33,100,100,5.01,mist
265,Porto Velho,BR,-8.7619,-63.9039,73.45,94,0,2.3,clear sky
266,Codrington,AU,-38.2667,141.9667,55.54,66,55,9.69,broken clouds
267,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,71.69,60,9,2.06,clear sky
268,Baytown,US,29.7355,-94.9774,87.24,81,19,1.01,few clouds
269,Tazovskiy,RU,67.4667,78.7,53.64,67,55,9.42,broken clouds
270,Paragominas,BR,-2.9667,-47.4833,70.21,82,9,2.3,clear sky
271,Morro Bay,US,35.3658,-120.8499,74.28,69,12,3.98,few clouds
272,Antalaha,MG,-14.9003,50.2788,70.07,86,67,16.44,light rain
273,Felanitx,ES,39.4696,3.1483,76.14,52,0,2.19,clear sky
274,Sorland,NO,67.667,12.6934,55.26,83,0,2.89,clear sky
275,Acapulco,MX,16.8634,-99.8901,78.42,91,96,7.83,overcast clouds
276,Tuatapere,NZ,-46.1333,167.6833,38.16,84,6,2.75,clear sky
277,Kruisfontein,ZA,-34.0033,24.7314,55.89,84,40,6.38,scattered clouds
278,Bairnsdale,AU,-37.8333,147.6167,55.06,77,32,3.0,scattered clouds
279,Farah,AF,32.5,62.5,93.18,8,0,4.56,clear sky
280,Tymovskoye,RU,50.8456,142.655,81.88,58,26,11.56,scattered clouds
281,Libreville,GA,0.3925,9.4537,72.5,80,99,6.58,overcast clouds
282,Padang,ID,-0.9492,100.3543,86.05,65,44,6.44,scattered clouds
283,Borger,NL,52.9233,6.7931,59.81,82,63,10.69,broken clouds
284,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,79,40,5.17,scattered clouds
285,Kamenka,RU,51.3223,42.7678,79.54,39,75,12.64,broken clouds
286,San Vicente,AR,-26.6167,-54.1333,66.47,58,90,7.0,overcast clouds
287,Raychikhinsk,RU,49.7838,129.4121,76.59,58,32,9.42,scattered clouds
288,Newcastle,AU,-32.9272,151.7765,59.72,93,100,14.0,light intensity shower rain
289,Magadan,RU,59.5667,150.8,76.53,71,41,7.54,scattered clouds
290,Isangel,VU,-19.55,169.2667,82.51,69,20,6.91,few clouds
291,Cantaura,VE,9.3057,-64.3584,74.28,88,89,8.57,overcast clouds
292,Kisangani,CD,0.5167,25.2,73.36,85,73,1.68,broken clouds
293,Shepsi,RU,44.0361,39.1489,77.09,70,1,5.08,clear sky
294,Meadow Lake,US,34.8014,-106.5436,77.68,57,97,2.37,overcast clouds
295,Zamora,EC,-4.0692,-78.9567,62.82,98,95,2.51,overcast clouds
296,Vardo,NO,70.3705,31.1107,51.78,87,60,4.61,broken clouds
297,Nome,US,64.5011,-165.4064,67.15,59,0,17.27,clear sky
298,Ambovombe,MG,-25.1667,46.0833,66.9,61,0,5.7,clear sky
299,Xacmaz,AZ,41.4635,48.806,89.46,27,0,10.87,clear sky
300,Marzuq,YE,14.4,46.4667,83.64,32,100,12.71,overcast clouds
301,Katobu,ID,-4.9408,122.5276,85.01,63,38,9.33,scattered clouds
302,Le Port,RE,-20.9373,55.2919,73.36,52,37,2.59,scattered clouds
303,Springfield,US,37.2153,-93.2982,71.46,90,0,3.44,clear sky
304,Caucaia,BR,-3.7361,-38.6531,78.75,81,20,9.22,few clouds
305,Numata,JP,36.6333,139.05,87.39,68,46,0.83,scattered clouds
306,Touros,BR,-5.1989,-35.4608,74.03,89,25,11.25,scattered clouds
307,Kaeo,NZ,-35.1,173.7833,61.32,91,100,4.41,overcast clouds
308,Balfour,ZA,-26.6633,28.5902,44.58,75,0,3.91,clear sky
309,Palmeirais,BR,-5.9778,-43.0633,68.74,67,13,3.62,few clouds
310,Ouadda,CF,8.0777,22.4007,69.76,96,100,2.62,overcast clouds
311,Batemans Bay,AU,-35.7167,150.1833,57.09,71,74,9.46,broken clouds
312,Yichun,CN,47.7,128.9,81.37,40,74,10.6,broken clouds
313,Vanimo,PG,-2.6741,141.3028,83.66,70,98,7.81,overcast clouds
314,Mangrol,IN,21.1167,70.1167,82.49,81,100,21.16,overcast clouds
315,Klaksvik,FO,62.2266,-6.589,52.72,95,99,7.38,overcast clouds
316,Namibe,AO,-15.1961,12.1522,62.38,81,2,1.16,clear sky
317,Orlik,RU,52.5178,99.825,59.09,63,99,6.06,light rain
318,Price,US,39.5994,-110.8107,83.12,19,0,6.91,clear sky
319,Cidreira,BR,-30.1811,-50.2056,60.4,96,58,12.75,broken clouds
320,Qasigiannguit,GL,68.8193,-51.1922,37.62,91,98,4.12,overcast clouds
321,Sistranda,NO,63.7256,8.834,53.56,88,100,15.43,overcast clouds
322,Puerto Suarez,BO,-18.95,-57.8,71.78,54,8,3.04,clear sky
323,Lata,PT,40.1629,-8.3327,64.08,47,0,3.09,clear sky
324,San Policarpo,PH,12.1791,125.5072,83.89,80,79,4.21,broken clouds
325,Terrace,CA,54.5163,-128.6035,58.91,82,75,13.8,broken clouds
326,Nyagan,RU,62.1406,65.3936,79.47,48,60,4.97,broken clouds
327,Riyadh,SA,24.6877,46.7219,93.34,8,100,10.09,overcast clouds
328,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.34,88,9,13.24,clear sky
329,Guayaramerin,BO,-10.8368,-65.3614,72.55,68,37,1.74,scattered clouds
330,Cherskiy,RU,68.75,161.3,53.46,46,33,11.41,scattered clouds
331,Niquero,CU,20.0431,-77.5828,78.96,79,11,2.15,few clouds
332,Chuy,UY,-33.6971,-53.4616,60.37,93,71,12.62,broken clouds
333,Dunedin,NZ,-45.8742,170.5036,42.8,63,11,1.99,few clouds
334,Bela,IN,25.9333,81.9833,100.33,36,12,11.14,few clouds
335,Belvidere,US,42.2639,-88.8443,62.04,90,0,5.03,clear sky
336,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,84.79,51,75,11.18,light rain
337,Santa Maria,BR,-29.6842,-53.8069,67.23,70,35,10.8,scattered clouds
